Website,City,CompanyName,CompanyDesc,ZipCode,Phone,State,Street,ContactName,CategoryDesc,Email
http://www.mycreaturecomfortsky.com/,Burlington,Creature Comforts LLC,"Creature Comforts is devoted to the well-being of horses and dogs, two creatures that are our companions, helpers, and teammates.Through thorough saddle fitting for horses, and massage therapy for horses and dogs, we help your companion animals feel their best and perform to the best of their abilities.We also offer horse sitting for those that keep their horses on their own property, or need someone to look after their stabled horse while they are away from home.Located in Burlington, Kentucky, we service Northern Kentucky, Southwest Ohio, and Southeast Indiana.---------------------------Bryan LynchCertified Saddle FitterCertified Massage TherapistBryan holds a Bachelors degree in Biology from the University of Houston. In 1993, he moved from Houston, Texas to Northern Kentucky, and in the same year found the opportunity to pursue his interest in horses. The interest became a lifestyle, and he has been studying and working with horses ever since. He has experience with a wide variety of breeds and disciplines.Bryan received massage training and certification from Equissage, Inc., based in Round Hill VA. He has since continued to expand his knowledge by studying the techniques of other practitioners and instructors of animal massage, and acupressure. He began his practice in 2010, initially concentrating on horses. Many of the clients he worked for would ask if he also worked on dogs. Having the same fondness for dogs as he did for horses, in 2011 he expanded his practice to include canines.In the course of his practice as a massage therapist, Bryan encountered numerous horses with back pain. The massage therapy would help, but the problems would reoccur. Bryan realized that poor saddle fit was the culprit, and set out to obtain the knowledge to offer solutions. In 2013, he completed an extensive 6 month training course that included classroom and hands-on instruction, case studies, volunteer work, internships and research, and became a certified saddle fitter.Debbie LynchHorse SitterDebbie began riding as a teenager. Career and family took her away from horses for a time, but in 1997 she returned to the equestrian world. She is a voracious reader of any book or publication about horses, and has studied the methods of several professional horsemen. She has also worked at a horse breeding and boarding facility. Her skills and confidence as a horsewoman come from years of experience with horses of all temperaments.",41005,859-250-7458,KY,2526 Spring Mill Place,Bryan & Debbie Lynch,Alternative Therapies,blynch@twc.com
http://,Florence,Susan Moore - Equine Massage,"Massage is a process that allows the body to bring itself back into balance. It is a totally non-invasive and natural process that is as old as time. Massage for horses can be used to prepare muscles for activity, prevent soreness after work, improve circulation to encourage healing and can even bring about changes in attitude and coordination.",41042,859-746-2759  /  859-466-3250,KY,5827 Hazel Dr,,Alternative Therapies,
http://www.bluegrasstrainingcenter.com/Contact-Us.html,Louisville,Bluegrass Aquatic Rehabilitation & Training Center,"At Bluegrass Aquatic Rehabilitation and Training Center our goal is to assist Equine Athletes to reach their maximum conditioning  without stress to joints, bones, tendons, and ligaments.  During their stay, your horse will experience an increase range of motion, flexibility, bloodflow, and lung capacity. They will return to you healthy, happy, and fit, to give you the competetive edge you need.Benefits:Conditioning without stressing bones, joints, tendons, and ligamentsIncreased range of motion and flexibilityIncreased blood circulation for faster healingAerobic exercise          RehabilitationGain Competitive EdgeRemove Body SorenessImprove Attitude - A Happy Horse Performs BetterFacilities:9000 sq ft heated barnHeated Pool 40 ft diameter x 12 ft deep with 20 ft entry rampEurociser 55ft diameter, 4 compartment; used for walking and trainingReceiving Barn:8400 sq ft barn27 12x12 stallsFans and heat lamps in each stallPaddocks available for Turnout3/8 mile grass Gallop TrackRound PenHOURS:Monday-Thursday:8 AM - 4 PM8 AM - 4 PM8 AM - 4 PM8 AM - 4 PMFriday, Saturday, Sunday:8 AM - 4 PM8 AM - 4 PM8 AM - 2 PM",40272,Office : 502-933-7898,KY,10214 Plaudit Way,Ed Bray & Erica Bowen,Alternative Therapies,
http://www.kesmarc.com,Versailles,Kentucky Equine Sports Medicine and Rehab Center,"KESMARC Kentucky is the finest and most complete equine therapy center in the world. From Breeders Cup winners to Grand Prix level horses, we have provided care to the top equine athletes in every discipline for over 20 years. Horses sidelined by injury, surgery, or those simply in need of a break can come back to athletic form through our program of controlled exercise. We work with your veterinarian to put together rehabilitation programs for each equine athlete.Our Individualized Programs Benefit Horses: Sidelined with an injury           Post-surgical care Athletic recovery                     Prehabilitation to prevent injury Conditioning before return to training or competitionLexington, Kentucky is home to the top equine hospitals, veterinary specialists, and state-of-the-art diagnostics in the world. Our strategic location allows us to easily tap into these resources to give you outstanding results at a cost-effective price.We are located minutes from Lexingtons Blue Grass Airport, Keeneland Racetrack, and the Kentucky Horse Park. This provides ease of access for you and your horse, whether shipping by truck or air.Please contact me at kjhorserehab@hotmail.com with any additional questions and I look forward to working with you and your equine athlete.Custom packages available. Credit cards accepted.Kirsten Johnson, Owner(859) 873-9955",40383,859-873-9955,KY,258 Shannon Run Road,"Kirsten Johnson, Owner",Alternative Therapies,kesmarcllc@aol.com
,Cynthiana,The Reiki Station,Reiki energy treatments for horse and horseman.,41031,8596085545,KY,226 Ruddles Mill Cynthiana Rd,Maureen Foright,Alternative Therapies,windywheymanor@aol.com
http://www.bannonwoodsvet.com,Fairdale,Dr. Adrienne Robertson,"As a Certified Veterinary Chiropractitioner, Dr. Robertson uses the VOM technology to treat subluxation in your horse.  What is VOM?Veterinary Orthopedic Manipulation is a healing technology that locates areas of the animal's nervous system that have fallen out of communication.  Healing is induced by re-establishing communication.VOM exists in between veterinary medicine and chiropractic care.  It has similarities to some of the chiropractic modalities, and works to restore function by reducing ""subluxations"" as in chiropractic care.  It uses a hand-held device called a spinal accelerometer.  Why is VOM so accurate?VOM finds and reduces all neuronal subluxations.  All neuronal subluxations in animals have a pathological reflex associated with them.  The reflex is like a ""knee-jerk response.""  It is either there, or not.  It is an objective means to determine the presence and reduction of neuronal subluxations.How it works...All Chiropractic Modalities have one thing in common, they reduce the vertebral subluxation complex  by providing motion or force to the fixated or subluxated joint.",40118,502-938-4894,KY,1000 Dezern Court,"Adrienne Robertson, DVM",Alternative Therapies,adrienne.robertson.dvm@gmail.com
http://www.coneyequinevet.com,Georgetown,Coney Equine Veterinary Sports Therapy,"Equine Sports Therapeutics - Chiropractic-InjuryPrevention-Rehabilitation - NutritionWe help develop and maintain equine athletes!Our unique focus uses state-of-the-art veterinary sports medicine therapeutics to maximize the potential and performance of your horse.Regular use of appropriate equine sports therapies helps your elite athlete stay more sound, decreasing medication requirements over a career.From Thoroughbred racing to sport horses, we can help you develop sport-specific training, conditioning and nutrition programs that optimize musculoskeletal and mental performance readiness, while optimizing injury prevention. If your horse has sustained an injury, we provide the therapeutic plan and treatments for optimal recovery from injury or surgery.We embrace a team approach, working with your regular veterinarian and farrier to address all factors contributing to performance issues or limitations; ensuring your horse is accurately diagnosed and optimally treated.We pride ourselves on our close, personal relationships and ready availability to our clients as we assess their horse's progress and ongoing response to therapy.Whether you want to optimize your Thoroughbred's race performance level, maximize the walk on a valuable sale yearling, or keep your sport horse more sound during their performance career - add a professional DVM equine veterinary sports therapist to your team!Servicing: Georgetown, Bluegrass horse farms surrounding Lexington and Louisville, Keeneland, Thoroughbred Training Center, Churchill Downs, Trackside, Turfway, the Kentucky Horse Park shows and events.",40324,502-316-4343,KY,P.O. Box 1196,,Alternative Therapies,coneyequinevet@gmail.com
http://www.lacroixequine.com,LaGrange,LaCroix Training Center,"LaCroix Training Center is centrally located to area tracks and is five miles from Interstate 71 60-stall main barn, all matted 5 matted 12 x 14 stalls in Aqua-Tred barn Aqua-Tred Equi-Ciser Game Ready ice compression system Half mile training track with quarter-mile uphill gallop and starting gate Outdoor arena (100 x 200) with all-weather surface Two covered turn-outs (60 x 60) Covered bullpen, 45 diameter Safe, spacious paddocks with good grassLaCroix is founded on a long tradition of horsemanship in multiple breeds. Prior to focusing their attention on racing, Gene and Erin LaCroix enjoyed successful careers in the show horse industry, earning more than 100 U.S. National Championships and two Lifetime Achievement awards. Gene was named the American Horse Shows Association (now U.S. Equestrian Federation) Horsemen of the Year in 1979.The LaCroixes transition to Thoroughbred racing has been the fulfillment of Genes boyhood dream, which began when he accompanied his father, Dr. Eugene E. LaCroix, to the backside of Turf Paradise in Phoenix, Arizona. Dr. LaCroix was one of the pioneers of Arabian racing on a pari-mutuel basis, but like his son, his horsemanship was not confined to one specific breed.In 2003, the LaCroixes initiated a rehabilitation and lay-up program for Thoroughbreds under the management of equine care specialist Del Lowell. In 2007, when Gene became a licensed trainer, a training track was added to the farm, further expanding the services the staff was able to offer.Both Gene and Erin are active in all aspects of the operation, from administration and business management to equine care, and because they live on the property, they are responsible for the late barn inspections before turning in themselves. In addition to their public facility, the LaCroixes buy yearlings, train them, and then race and/or market them for their own account, so they are experienced not only as hands-on horsemen, but also know first-hand the special concerns of owners.LaCroix Training Center has earned its reputation as one of Kentuckys premier rehab and lay-up facilities, and is rapidly becoming known for its services in breaking, legging-up, conditioning/galloping and pre-training. Several Grade 1 winners have come to LaCroix, as well as horses owned or trained by some of Americas leading horsemen.LaCroix is a special place, not just because of the facility and services, but because the love of the horses and the horsemanship on which it is founded will always be its priority.",40031,502-222-1795,KY,1000 Bluegrass Parkway,"Del Lowell, Manager",Alternative Therapies,contact@lacroixequine.com
http://,Lexington,Dr. Lauren Marie Foster,Large Animal IVCA Certified,40511,859-963-8046,KY,4250 Iron Works Pike,,Alternative Therapies,lauren.javernick@gmail.com
http://www.equinehealthcare.com,Lexington,Equine Health Care,"Since 1982, Mimi has provided Equine Therapy to horses from the Bluegrass region of Kentucky and others from across the USA and the rest of the world.Mimi's trained Equine Therapists provide secondary care to horses. That means they follow a complete veterinary diagnosis and maintain open lines of communication with the veterinarian in charge of the case. The Equine Therapist and the veterinarian confer on the rehabilitation plan for the horse to achieve the best outcome.Mimi specializes in the application of therapeutic ultrasound, electric muscle stimulation, photon and laser therapy, iontophoresis, magnetic therapy, stretching, cold therapy, heat therapy, consultation and instruction.",40513,859-223-1326,KY,4350 Harrodsburg Rd.,Mimi Porter,Alternative Therapies,mporter@equinehealthcare.com
http://www.sporthorsetherapy.com,Lexington,Integrated Sport Horse Therapy - Myofascial Release,"I work with the fascia, or connective tissue of the equine body.  Fascia is known as the organ of form.  It surrounds everything in our structure from organs, blood vessels, and nerves to bones and muscles.    An easy way to see fascia is when preparing a chicken breast.  It's the clear, stretchy material we remove from the meat before cooking it.  So how does this affect your horse?  A horse's fascia can become restricted due to trauma, a slip in the mud, repetitive training routines, poor balance (of the horse and/or rider), scar tissue, and equipment problems such as saddle fit. So instead of being flexible, the fascia thickens and hardens which restricts movement, nerves, blood vessels, etc.  Once an area is restricted, the horse will compensate and move as efficiently as it can; however, it has now created other imbalances perhaps from a limp, so the fascia continues to adapt, change, and become even more restricted.        When the fascia is restricted your horse may exhibit a shortened stride, body soreness, joint stiffness, a sore back, a rotated joint, a hanging knee, lack of speed, or perhaps they are just not moving quite right or to the best of their ability, etc.  The restoration of length and resilience to the fascial tissues will take the pressure off of the nerves and blood vessels reducing pain, as well as restoring alignment to the muscles and mobility to the joints.  The body will experience greater range of motion and movement efficiency.  Structural Integration is not massage therapy or chiropractic work.  This is also not a monthly maintenance program.  I work with your horse typically for 1, 3 or 5 sessions.  The sessions are designed to reintegrate your horses body, and each session builds upon the previous session.",,989-928-9002,,,Heather Brinkman,Alternative Therapies,
http://www.hagyard.com,Lexington,Hagyard Equine Medical Institute,Large Animals  IVCA Certified,40511,859-255-8741,KY,4250 Iron Works Pike,Dr. Jessica Thornton or Dr. Jill Westerholm,Alternative Therapies,"j.thornton@hagyard.com, jwesterholm@hagyard.com"
http://www.animalsinmotionky.com,Lexington,"Animals in Motion, PLLC","Animals in Motion PLLC is a veterinary practice established in Central Kentucky to serve the changing needs of small animal and equine companions and athletes.  The goal of this practice is to offer additional treatment options for your pet. Chiropractic and acupuncture are alternative therapies that can be integrated into your animal's traditional health programs.  If you are interested in chiropractic and acupuncture therapies for your companion, please contact Dr. Kara Vittitow via email or by phone (voice call or text message are both welcome). Please allow at least 48 hours for a response.",40591,859-940-9541,KY,P.O. Box 910472,Dr. Kara Vittitow,Alternative Therapies,Kara@animalsinmotionky.com
http://www.roodandriddle.com/index.php,Lexington,Rood & Riddle Equine Hospital,Large Animal IVCA Certified,40511,859-533-0135,KY,2150 Georgetown Rd.  /  P.O. Box 12070,Dr. Kathleen Paasch,Alternative Therapies,kpaasch@roodandriddle.com
http://,Louisville,Crow Equine Services,"Crow Equine ServicesVeterinary Acupuncture, Dentistry, Coggin's tests, vaccinations, health certificates, fecal egg counts. Louisville and surrounding areas. Email to set up an appointment.",40206,,KY,,Emily Crow,Alternative Therapies,emilycrow@gmail.com
http://www.equither.com/ContactUs/tabid/576/Default.aspx,Louisville,Equi-Ther,"I have trained in and studied equine chiropractic theory, application and technique under Drs. Daniel Kamen (Buffalo Grove, Illinois) and William Hampton (Pagosa Springs, Colorado). Dr. Kamen is the author of ""The Well Adjusted Horse"". Dr. Hampton, among other distinctions, provides chiropractic care for Pat and Linda Parelli.  In combination with my training as a physical therapist, the chiropractic adjustment is enhanced by the soft tissue work and releases I can achieve.",,502-418-0433,,,"Kelly Flowers, MPT",Alternative Therapies,
http://,Louisville,Dr. Lindsay Raygor,Large Animal IVCA Certified,40205,502-552-4999,KY,2227 Wendell Ave.,,Alternative Therapies,doclindsay@hotmail.com
http://,Paris,Dr. Anna E. Hichborn,Large Animal IVCA Certified,40361,859-550-3361,KY,3204 Georgetown Rd.,,Alternative Therapies,aehichborndvm@gmail.com
,Simpsonville,G. Dianne Volz,"therapeutic ultrasound, infrasound, electric muscle stimulation, photon therapy, iontophoresis, magnetic therapy, stretching",40067,502-452-9193,KY,P.O. Box 583,Dianne Volz,Alternative Therapies,equinetherapy502@yahoo.com
http://https://www.facebook.com/coretherapiesdvmpllc/timeline,Versailles,CORE Therapies: Veterinary Acupuncture & Chiropractic Clinic,"CORE Therapies, The Veterinary Acupuncture and Chiropractic Clinic, is owned and operated by Larkspur Carroll DVM.",,859-537-7930,,P.O. Box 601,,Alternative Therapies,
http://,Versailles,Mrs. Larkspur Carroll,Small Animal & Large Animal IVCA Certified,40383,859-537-7930,KY,P.O. Box 601,,Alternative Therapies,larkspurdvm@hotmail.com
http://www.highhopesteeplechase.com,Lexington,High Hope Steeplechase,"Each year, over 15,000 High Hope Steeplechase spectators enjoy the thrills of jump and flat racing from a variety of vantage points. The preferred tailgate area where cars are parked trackside is sought after, with large picnics and lavish spreads displayed to entertain guests. Close to the finish line are tents where corporations gather to host parties for their clients. This area is also home to the Members Pavilion, offering a delicious luncheon buffet and bar.The day begins at noon with the Jack Russell Terrier races and various childrens activities. It continues until approximately 5pm incorporating relay and flat races and equestrian entertainment, sure to appeal to all ages. Offering something for everyone  from the most experienced equestrian to the novice who has never touched a horse  the High Hope Steeplechase celebrates the beauty of the Bluegrass in all its forms  its rolling hills, its Southern hospitality, its delicious food, and of course, its stunning horses.",40511,859-967-9444,KY,4089 Iron Works Parkway,"Laura Klumb, Executive Director",Annual Events,highhopesteeplechase@gmail.com
